train_loss,step,epoch
0.06879880279302597,49,0
0.04007025435566902,99,0
0.05013153329491615,149,1
0.03341930732131004,199,1
0.045119334012269974,249,2
0.028091441839933395,299,2
0.04324350133538246,349,3
0.02071690559387207,399,3
0.04330310970544815,449,4
0.017146868631243706,499,4
0.03949841484427452,549,5
0.016191957518458366,599,5
0.036821845918893814,649,6
0.016497109085321426,699,6
0.035418011248111725,749,7
0.016366219148039818,799,7
0.034677907824516296,849,8
0.017654454335570335,899,8
0.03371680527925491,949,9
0.01624295674264431,999,9
0.03289139270782471,1049,10
0.01589524932205677,1099,10
0.03289369121193886,1149,11
0.016018463298678398,1199,11
0.03483695536851883,1249,12
0.016668081283569336,1299,12
0.034305389970541,1349,13
0.01513669453561306,1399,13
0.032280586659908295,1449,14
0.014967227354645729,1499,14
0.034125007688999176,1549,15
0.014850269071757793,1599,15
0.0342089980840683,1649,16
0.014679993502795696,1699,16
0.03424679860472679,1749,17
0.015753155574202538,1799,17
0.031022051349282265,1849,18
0.01648455671966076,1899,18
0.03219500929117203,1949,19
0.015598718076944351,1999,19
