train_loss,step,epoch
0.05544153228402138,49,0
0.038371164351701736,99,0
0.05152950435876846,149,1
0.030033068731427193,199,1
0.046127017587423325,249,2
0.022904731333255768,299,2
0.036543432623147964,349,3
0.018994076177477837,399,3
0.029644794762134552,449,4
0.016950661316514015,499,4
0.02593832090497017,549,5
0.015000646933913231,599,5
0.025811661034822464,649,6
0.015402192249894142,699,6
0.023368852213025093,749,7
0.01477956771850586,799,7
0.021657466888427734,849,8
0.014302360825240612,899,8
0.02137700654566288,949,9
0.015134764835238457,999,9
0.021114416420459747,1049,10
0.013418401591479778,1099,10
0.020098524168133736,1149,11
0.014387295581400394,1199,11
0.0213787741959095,1249,12
0.014719855971634388,1299,12
0.019177058711647987,1349,13
0.012957680970430374,1399,13
0.017797501757740974,1449,14
0.012080038897693157,1499,14
0.019503088667988777,1549,15
0.013160559348762035,1599,15
0.020085295662283897,1649,16
0.013610625639557838,1699,16
0.018881596624851227,1749,17
0.013517956249415874,1799,17
0.021814905107021332,1849,18
0.01286511030048132,1899,18
0.01823231764137745,1949,19
0.01210677158087492,1999,19
